BreachDate,PwnCount,,,,
1/11/2016,6137666,,,,
21/6/2014,285191,,,,
25/2/2021,20339937,,,,
1/7/2015,30327,,,,
1/4/2015,254867,,,,
23/6/2020,4195918,,,,
24/11/2019,7327477,,,,
28/2/2020,494945,,,,
1/1/2012,21149008,,,,
25/8/2022,5067990,,,,
1/8/2017,27971100,,,,
22/12/2014,442166,,,,
30/11/2018,265410,,,,
1/4/2020,8234193,,,,
27/4/2015,107776,,,,
28/5/2016,97151,,,,
12/2/2014,2239,,,,
1/9/2017,10371766,,,,
3/9/2015,178201,,,,
1/12/2015,179030,,,,
31/12/2017,84011,,,,
27/9/2019,10653,,,,
21/11/2017,181871,,,,
13/10/2020,228102,,,,
1/1/2014,612414,,,,
26/12/2011,29020808,,,,
22/2/2021,1921722,,,,
31/5/2018,26151608,,,,
17/4/2020,71443698,,,,
21/8/2019,6002694,,,,
12/12/2013,352120,,,,
11/9/2014,652683,,,,
17/12/2020,637279,,,,
23/11/2021,471376,,,,
12/6/2018,43432346,,,,
27/12/2015,3827238,,,,
25/2/2016,83957,,,,
21/2/2020,599667,,,,
28/2/2013,65469298,,,,
16/3/2016,985586,,,,
1/1/2022,6682453,,,,
1/1/2021,211524284,,,,
1/6/2016,2682650,,,,
26/1/2020,777769,,,,
20/2/2014,3200,,,,
25/4/2017,428779,,,,
19/8/2020,166031,,,,
1/11/2019,564962,,,,
24/12/2020,547422,,,,
11/8/2016,530147,,,,
26/1/2021,11498146,,,,
8/4/2021,111002,,,,
17/7/2020,235233,,,,
14/1/2016,395044,,,,
6/9/2016,7485802,,,,
22/6/2020,4775203,,,,
31/3/2019,30433,,,,
3/11/2015,518966,,,,
8/7/2019,686899,,,,
25/2/2019,763117241,,,,
10/1/2014,16919,,,,
8/4/2020,94353,,,,
1/1/2017,166046,,,,
7/5/2018,777649,,,,
1/1/2012,93338602,,,,
19/5/2015,24853850,,,,
30/11/2013,56021,,,,
13/6/2019,95431,,,,
13/11/2015,4833678,,,,
13/2/2016,2013164,,,,
28/8/2022,6706951,,,,
13/12/2018,23165793,,,,
4/7/2012,1020136,,,,
24/11/2014,819478,,,,
1/12/2016,1116256,,,,
29/6/2020,268765495,,,,
3/11/2013,8600635,,,,
6/1/2021,1306723,,,,
8/3/2021,11788,,,,
31/3/2018,52485,,,,
27/6/2016,11657763,,,,
21/5/2012,134047,,,,
10/6/2019,224119,,,,
7/10/2018,1274051,,,,
25/9/2015,458155,,,,
11/7/2015,738556,,,,
3/9/2013,202683,,,,
7/8/2016,2247314,,,,
27/1/2020,9705172,,,,
14/7/2020,2856769,,,,
28/10/2020,3924454,,,,
4/11/2018,858,,,,
4/1/2014,148366,,,,
4/11/2015,5968783,,,,
25/9/2015,1296959,,,,
1/2/2015,432552,,,,
28/11/2016,377377,,,,
1/8/2012,7088010,,,,
1/7/2019,561991,,,,
1/1/2016,890341,,,,
7/11/2013,2983472,,,,
11/7/2012,453427,,,,
2/6/2013,13258797,,,,
7/9/2014,1186564,,,,
1/9/2013,5033997,,,,
22/6/2020,1444629,,,,
1/12/2016,91890110,,,,
15/2/2019,18241518,,,,
21/2/2012,1327567,,,,
5/10/2018,66147869,,,,
22/11/2021,746682,,,,
21/12/2011,5024908,,,,
17/5/2017,16472873,,,,
1/7/2018,3589795,,,,
1/1/2011,52578183,,,,
12/1/2020,23927853,,,,
27/9/2019,71407,,,,
8/1/2023,756737,,,,
1/9/2019,172869660,,,,
8/8/2016,4946850,,,,
11/5/2015,3474763,,,,
27/3/2020,1298651,,,,
